<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ZHIV,D,25/05/16,000000,13.0000000,13.1000000,12.2000000,12.5000000,1.030
ZHIV,D,26/05/16,000000,12.9000000,17.1000000,12.5000000,12.8000000,152.080
ZHIV,D,27/05/16,000000,12.9000000,17.4000000,12.9000000,14.5000000,169.700
ZHIV,D,30/05/16,000000,14.2000000,15.2000000,13.4000000,13.7000000,28.220
ZHIV,D,31/05/16,000000,14.1000000,14.5000000,13.3000000,13.9000000,11.200
ZHIV,D,01/06/16,000000,13.5000000,14.7000000,13.2000000,14.4000000,20.270
ZHIV,D,02/06/16,000000,13.7000000,14.3000000,12.9000000,13.9000000,7.840
ZHIV,D,03/06/16,000000,14.0000000,14.2000000,12.9000000,13.7000000,8.240
ZHIV,D,06/06/16,000000,13.3000000,13.9000000,12.4000000,13.2000000,14.450
ZHIV,D,07/06/16,000000,13.0000000,13.5000000,12.6000000,13.4000000,17.240
ZHIV,D,08/06/16,000000,13.1000000,13.3000000,12.5000000,13.2000000,7.720
ZHIV,D,09/06/16,000000,12.7000000,13.1000000,11.6000000,11.9000000,28.000
ZHIV,D,10/06/16,000000,11.9000000,12.3000000,11.5000000,12.1000000,3.520
ZHIV,D,14/06/16,000000,11.8000000,12.3000000,11.5000000,11.9000000,1.790
ZHIV,D,15/06/16,000000,11.6000000,12.0000000,10.4000000,12.0000000,4.270
ZHIV,D,16/06/16,000000,11.9000000,11.9000000,10.6000000,11.1000000,10.450
ZHIV,D,17/06/16,000000,11.4000000,11.4000000,10.5000000,11.0000000,4.160
ZHIV,D,20/06/16,000000,11.0000000,12.5000000,10.6000000,11.4000000,49.530
ZHIV,D,21/06/16,000000,10.9000000,11.8000000,9.8000000,10.5000000,70.050
ZHIV,D,22/06/16,000000,10.7000000,11.5000000,10.5000000,11.2000000,4.960
ZHIV,D,23/06/16,000000,11.1000000,11.7000000,10.7000000,11.3000000,3.670
ZHIV,D,24/06/16,000000,11.0000000,11.6000000,10.6000000,11.1000000,2.400
ZHIV,D,27/06/16,000000,11.0000000,11.1000000,10.5000000,11.0000000,3.210
ZHIV,D,28/06/16,000000,10.6000000,11.0000000,10.0000000,10.5000000,11.900
ZHIV,D,29/06/16,000000,10.9000000,10.9000000,8.8000000,9.6000000,117.240
ZHIV,D,30/06/16,000000,9.9000000,9.9000000,8.2000000,8.8000000,192.270
ZHIV,D,01/07/16,000000,9.4000000,9.4000000,7.9000000,8.3000000,166.840
ZHIV,D,04/07/16,000000,8.7000000,8.7000000,6.9000000,7.2000000,89.150
ZHIV,D,05/07/16,000000,7.2000000,7.5000000,6.6000000,7.5000000,56.490
ZHIV,D,06/07/16,000000,7.4000000,8.5000000,7.1000000,8.0000000,108.140
ZHIV,D,07/07/16,000000,8.4000000,8.4000000,7.0000000,7.9000000,62.790
ZHIV,D,08/07/16,000000,8.0000000,8.1000000,7.5000000,7.9000000,7.390
ZHIV,D,11/07/16,000000,7.7000000,8.3000000,7.5000000,8.2000000,200.660
ZHIV,D,12/07/16,000000,8.2000000,8.4000000,7.5000000,8.2000000,102.520
ZHIV,D,13/07/16,000000,8.1000000,11.4000000,8.1000000,11.4000000,870.940
ZHIV,D,14/07/16,000000,13.5000000,15.0000000,10.5000000,11.0000000,460.470
ZHIV,D,15/07/16,000000,10.7000000,15.0000000,10.3000000,12.3000000,648.000
ZHIV,D,18/07/16,000000,12.3000000,14.7000000,11.6000000,14.7000000,411.700
