<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BGDE,D,20/05/16,000000,1.4350000,1.4350000,1.4350000,1.4350000,1.000
BGDE,D,23/05/16,000000,1.4150000,1.4650000,1.4150000,1.4650000,49.011.000
BGDE,D,25/05/16,000000,1.4450000,1.4450000,1.0500000,1.2700000,18.000
BGDE,D,27/05/16,000000,1.1800000,1.1800000,1.1800000,1.1800000,1.000
BGDE,D,31/05/16,000000,1.2100000,1.6500000,1.2100000,1.5650000,13.000
BGDE,D,01/06/16,000000,1.5350000,1.5350000,1.5350000,1.5350000,1.000
BGDE,D,07/06/16,000000,1.5500000,1.5500000,1.5500000,1.5500000,1.000
BGDE,D,09/06/16,000000,1.4500000,1.4500000,1.4500000,1.4500000,3.480.000
BGDE,D,14/06/16,000000,1.5750000,1.5750000,1.3200000,1.3750000,8.000
BGDE,D,29/06/16,000000,1.4100000,1.4100000,1.4100000,1.4100000,1.000
BGDE,D,30/06/16,000000,1.4100000,1.4100000,1.4100000,1.4100000,9.000
BGDE,D,05/07/16,000000,1.3550000,1.3550000,1.3550000,1.3550000,1.000
BGDE,D,08/07/16,000000,1.3800000,1.4450000,1.3800000,1.4450000,29.709.000
BGDE,D,21/07/16,000000,1.3250000,1.3250000,0.8700000,1.1400000,560.000
BGDE,D,22/07/16,000000,1.1400000,1.1400000,0.9200000,1.0000000,191.000
BGDE,D,25/07/16,000000,1.1000000,1.1000000,0.7950000,0.8100000,2.607.000
BGDE,D,26/07/16,000000,0.8100000,0.8600000,0.8000000,0.8150000,140.000
BGDE,D,27/07/16,000000,0.8750000,0.9050000,0.7800000,0.8000000,1.202.000
BGDE,D,28/07/16,000000,0.8050000,0.8150000,0.7800000,0.7800000,367.000
BGDE,D,29/07/16,000000,0.8000000,0.8100000,0.7800000,0.8100000,186.000
BGDE,D,01/08/16,000000,0.7900000,0.9600000,0.7550000,0.7950000,1.677.000
BGDE,D,02/08/16,000000,0.7950000,0.8400000,0.7500000,0.7900000,691.000
BGDE,D,03/08/16,000000,0.7650000,0.8000000,0.7450000,0.7800000,151.000
BGDE,D,04/08/16,000000,0.7900000,0.8200000,0.7750000,0.7950000,217.000
BGDE,D,05/08/16,000000,0.7850000,0.8450000,0.7850000,0.7900000,451.000
BGDE,D,08/08/16,000000,0.7800000,0.7900000,0.6950000,0.7050000,3.346.000
BGDE,D,09/08/16,000000,0.7050000,0.7100000,0.6900000,0.7100000,630.000
BGDE,D,10/08/16,000000,0.7100000,0.7100000,0.6900000,0.7000000,1.631.000
BGDE,D,11/08/16,000000,0.7150000,0.7200000,0.6700000,0.6750000,242.000
BGDE,D,12/08/16,000000,0.6800000,0.6900000,0.5800000,0.5800000,1.790.000
BGDE,D,15/08/16,000000,0.5950000,0.5950000,0.4700000,0.4800000,6.592.000
BGDE,D,16/08/16,000000,0.4850000,0.6700000,0.4800000,0.5200000,10.405.000
BGDE,D,17/08/16,000000,0.5350000,0.5650000,0.4850000,0.5250000,5.393.000
