<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
HALS,D,19/02/16,000000,1.700.0000000,1.740.0000000,1.700.0000000,1.740.0000000,101
HALS,D,22/02/16,000000,1.770.0000000,1.880.0000000,1.745.0000000,1.750.0000000,56
HALS,D,24/02/16,000000,1.770.0000000,1.770.0000000,1.770.0000000,1.770.0000000,16
HALS,D,25/02/16,000000,1.790.0000000,1.790.0000000,1.780.0000000,1.780.0000000,5
HALS,D,26/02/16,000000,1.790.0000000,1.790.0000000,1.790.0000000,1.790.0000000,3
HALS,D,29/02/16,000000,1.870.0000000,1.880.0000000,1.800.0000000,1.810.0000000,35
HALS,D,01/03/16,000000,1.720.0000000,1.785.0000000,1.720.0000000,1.770.0000000,34
HALS,D,02/03/16,000000,1.780.0000000,1.780.0000000,1.780.0000000,1.780.0000000,1
HALS,D,03/03/16,000000,1.735.0000000,1.780.0000000,1.735.0000000,1.780.0000000,2
HALS,D,04/03/16,000000,1.780.0000000,1.840.0000000,1.780.0000000,1.805.0000000,42
HALS,D,07/03/16,000000,1.815.0000000,1.840.0000000,1.815.0000000,1.840.0000000,2
HALS,D,09/03/16,000000,1.825.0000000,1.825.0000000,1.765.0000000,1.770.0000000,19
HALS,D,10/03/16,000000,1.770.0000000,1.770.0000000,1.725.0000000,1.725.0000000,39
HALS,D,11/03/16,000000,1.755.0000000,1.785.0000000,1.755.0000000,1.765.0000000,23
HALS,D,15/03/16,000000,1.765.0000000,1.765.0000000,1.700.0000000,1.720.0000000,43
HALS,D,16/03/16,000000,1.755.0000000,1.755.0000000,1.695.0000000,1.725.0000000,164
HALS,D,17/03/16,000000,1.730.0000000,1.730.0000000,1.695.0000000,1.705.0000000,12
HALS,D,18/03/16,000000,1.700.0000000,1.705.0000000,1.695.0000000,1.695.0000000,13
HALS,D,21/03/16,000000,1.700.0000000,1.700.0000000,1.690.0000000,1.690.0000000,10
HALS,D,22/03/16,000000,1.690.0000000,1.700.0000000,1.685.0000000,1.690.0000000,11
HALS,D,23/03/16,000000,1.705.0000000,1.710.0000000,1.685.0000000,1.690.0000000,14
HALS,D,24/03/16,000000,1.700.0000000,1.705.0000000,1.580.0000000,1.655.0000000,49
HALS,D,25/03/16,000000,1.685.0000000,1.685.0000000,1.685.0000000,1.685.0000000,1
HALS,D,29/03/16,000000,1.645.0000000,1.665.0000000,1.630.0000000,1.630.0000000,32
