<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GRNT,D,20/06/16,000000,0.6600000,0.6650000,0.6000000,0.6200000,2.004.000
GRNT,D,21/06/16,000000,0.6250000,0.6250000,0.5700000,0.5750000,3.752.000
GRNT,D,22/06/16,000000,0.5750000,0.6300000,0.5500000,0.5950000,2.815.000
GRNT,D,23/06/16,000000,0.5950000,0.6100000,0.5750000,0.6050000,642.000
GRNT,D,24/06/16,000000,0.6000000,0.6100000,0.5550000,0.5750000,3.206.000
GRNT,D,27/06/16,000000,0.5700000,0.5800000,0.5500000,0.5650000,646.000
GRNT,D,28/06/16,000000,0.5600000,0.5700000,0.5500000,0.5550000,328.000
GRNT,D,29/06/16,000000,0.5550000,0.5650000,0.4700000,0.4900000,23.342.000
GRNT,D,30/06/16,000000,0.5000000,0.5050000,0.4100000,0.4350000,8.832.000
GRNT,D,01/07/16,000000,0.4250000,0.6050000,0.4200000,0.6050000,10.892.000
GRNT,D,04/07/16,000000,0.6650000,0.7800000,0.4900000,0.5150000,12.461.000
GRNT,D,05/07/16,000000,0.5050000,0.5400000,0.4900000,0.5250000,2.032.000
GRNT,D,06/07/16,000000,0.5300000,0.5350000,0.5000000,0.5200000,370.000
GRNT,D,07/07/16,000000,0.5150000,0.5800000,0.5100000,0.5400000,2.297.000
GRNT,D,08/07/16,000000,0.5350000,0.5650000,0.5300000,0.5400000,957.000
GRNT,D,11/07/16,000000,0.5550000,0.7550000,0.5300000,0.7550000,14.732.000
GRNT,D,12/07/16,000000,0.8200000,0.9300000,0.7350000,0.7700000,13.523.000
GRNT,D,13/07/16,000000,0.7750000,0.7750000,0.6300000,0.6600000,8.302.000
GRNT,D,14/07/16,000000,0.6800000,0.7600000,0.6250000,0.6700000,17.375.000
GRNT,D,15/07/16,000000,0.7050000,0.7950000,0.6500000,0.7600000,9.394.000
