<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GMKN,D,11/02/16,000000,8.506.0000000,8.537.0000000,8.251.0000000,8.376.0000000,322.100
GMKN,D,12/02/16,000000,8.425.0000000,8.460.0000000,8.329.0000000,8.350.0000000,164.315
GMKN,D,15/02/16,000000,8.464.0000000,8.509.0000000,8.280.0000000,8.345.0000000,247.081
GMKN,D,16/02/16,000000,8.380.0000000,8.486.0000000,8.325.0000000,8.486.0000000,220.918
GMKN,D,17/02/16,000000,8.501.0000000,8.656.0000000,8.500.0000000,8.633.0000000,235.530
GMKN,D,18/02/16,000000,8.651.0000000,8.888.0000000,8.644.0000000,8.880.0000000,304.924
GMKN,D,19/02/16,000000,8.801.0000000,8.835.0000000,8.660.0000000,8.745.0000000,213.376
GMKN,D,20/02/16,000000,8.748.0000000,8.820.0000000,8.710.0000000,8.720.0000000,37.605
GMKN,D,22/02/16,000000,8.750.0000000,8.800.0000000,8.680.0000000,8.750.0000000,89.380
GMKN,D,24/02/16,000000,8.690.0000000,8.780.0000000,8.625.0000000,8.750.0000000,201.963
GMKN,D,25/02/16,000000,8.759.0000000,8.870.0000000,8.671.0000000,8.750.0000000,174.660
GMKN,D,26/02/16,000000,8.799.0000000,9.009.0000000,8.770.0000000,8.935.0000000,276.707
GMKN,D,29/02/16,000000,8.920.0000000,9.170.0000000,8.860.0000000,9.142.0000000,287.590
GMKN,D,01/03/16,000000,9.105.0000000,9.197.0000000,9.043.0000000,9.105.0000000,182.381
GMKN,D,02/03/16,000000,9.155.0000000,9.166.0000000,9.042.0000000,9.093.0000000,114.952
GMKN,D,03/03/16,000000,9.075.0000000,9.248.0000000,9.075.0000000,9.190.0000000,236.828
GMKN,D,04/03/16,000000,9.234.0000000,9.312.0000000,9.181.0000000,9.300.0000000,312.147
GMKN,D,07/03/16,000000,9.330.0000000,9.494.0000000,9.320.0000000,9.494.0000000,217.394
GMKN,D,09/03/16,000000,9.380.0000000,9.412.0000000,9.277.0000000,9.300.0000000,205.840
GMKN,D,10/03/16,000000,9.297.0000000,9.350.0000000,9.228.0000000,9.281.0000000,167.108
GMKN,D,11/03/16,000000,9.287.0000000,9.326.0000000,9.080.0000000,9.221.0000000,248.802
GMKN,D,14/03/16,000000,9.225.0000000,9.262.0000000,9.114.0000000,9.150.0000000,160.712
GMKN,D,15/03/16,000000,9.188.0000000,9.256.0000000,9.112.0000000,9.202.0000000,293.738
GMKN,D,16/03/16,000000,9.210.0000000,9.229.0000000,9.021.0000000,9.119.0000000,249.533
GMKN,D,17/03/16,000000,9.155.0000000,9.248.0000000,9.113.0000000,9.243.0000000,293.852
GMKN,D,18/03/16,000000,9.255.0000000,9.490.0000000,9.212.0000000,9.490.0000000,365.846
GMKN,D,21/03/16,000000,9.410.0000000,9.470.0000000,9.303.0000000,9.390.0000000,234.464
GMKN,D,22/03/16,000000,9.385.0000000,9.455.0000000,9.320.0000000,9.419.0000000,164.786
GMKN,D,23/03/16,000000,9.428.0000000,9.450.0000000,9.178.0000000,9.240.0000000,196.884
GMKN,D,24/03/16,000000,9.200.0000000,9.268.0000000,8.943.0000000,9.020.0000000,297.268
GMKN,D,25/03/16,000000,9.046.0000000,9.076.0000000,9.001.0000000,9.046.0000000,57.419
GMKN,D,28/03/16,000000,9.093.0000000,9.119.0000000,8.923.0000000,8.995.0000000,131.546
GMKN,D,29/03/16,000000,8.996.0000000,9.030.0000000,8.787.0000000,8.935.0000000,269.823
GMKN,D,30/03/16,000000,8.961.0000000,9.080.0000000,8.905.0000000,8.950.0000000,208.838
GMKN,D,31/03/16,000000,8.960.0000000,9.010.0000000,8.660.0000000,8.700.0000000,475.460
