<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LNZL,D,07/03/16,000000,8.680.0000000,8.940.0000000,8.560.0000000,8.820.0000000,156
LNZL,D,09/03/16,000000,8.800.0000000,8.870.0000000,8.750.0000000,8.800.0000000,152
LNZL,D,10/03/16,000000,8.810.0000000,8.990.0000000,8.810.0000000,8.830.0000000,349
LNZL,D,11/03/16,000000,8.830.0000000,9.000.0000000,8.830.0000000,8.930.0000000,300
LNZL,D,14/03/16,000000,8.980.0000000,8.990.0000000,8.800.0000000,8.900.0000000,338
LNZL,D,15/03/16,000000,8.850.0000000,8.900.0000000,8.770.0000000,8.850.0000000,164
LNZL,D,16/03/16,000000,8.800.0000000,8.850.0000000,8.730.0000000,8.770.0000000,105
LNZL,D,17/03/16,000000,8.750.0000000,8.880.0000000,8.700.0000000,8.800.0000000,182
LNZL,D,18/03/16,000000,8.800.0000000,8.840.0000000,8.730.0000000,8.800.0000000,132
LNZL,D,21/03/16,000000,8.780.0000000,8.840.0000000,8.750.0000000,8.780.0000000,67
LNZL,D,22/03/16,000000,8.780.0000000,8.780.0000000,8.710.0000000,8.750.0000000,111
LNZL,D,23/03/16,000000,8.740.0000000,8.750.0000000,8.630.0000000,8.650.0000000,300
LNZL,D,24/03/16,000000,8.530.0000000,8.690.0000000,8.320.0000000,8.690.0000000,142
LNZL,D,25/03/16,000000,8.700.0000000,8.900.0000000,8.600.0000000,8.760.0000000,210
LNZL,D,28/03/16,000000,8.760.0000000,8.780.0000000,8.670.0000000,8.700.0000000,179
LNZL,D,29/03/16,000000,8.460.0000000,8.790.0000000,8.460.0000000,8.640.0000000,105
LNZL,D,30/03/16,000000,8.660.0000000,8.880.0000000,8.660.0000000,8.800.0000000,260
LNZL,D,31/03/16,000000,8.740.0000000,8.740.0000000,8.650.0000000,8.740.0000000,402
LNZL,D,01/04/16,000000,8.560.0000000,8.850.0000000,8.560.0000000,8.800.0000000,216
LNZL,D,04/04/16,000000,8.710.0000000,8.950.0000000,8.700.0000000,8.700.0000000,349
LNZL,D,05/04/16,000000,8.710.0000000,8.770.0000000,8.700.0000000,8.700.0000000,138
LNZL,D,06/04/16,000000,8.800.0000000,8.800.0000000,8.650.0000000,8.720.0000000,60
LNZL,D,07/04/16,000000,8.750.0000000,8.750.0000000,8.650.0000000,8.710.0000000,27
LNZL,D,08/04/16,000000,8.730.0000000,8.780.0000000,8.660.0000000,8.780.0000000,33
LNZL,D,11/04/16,000000,8.710.0000000,8.810.0000000,8.670.0000000,8.740.0000000,48
LNZL,D,12/04/16,000000,8.710.0000000,8.750.0000000,8.550.0000000,8.610.0000000,163
LNZL,D,13/04/16,000000,8.610.0000000,8.720.0000000,8.550.0000000,8.710.0000000,155
LNZL,D,14/04/16,000000,8.580.0000000,8.740.0000000,8.520.0000000,8.600.0000000,232
LNZL,D,15/04/16,000000,8.520.0000000,8.700.0000000,8.520.0000000,8.690.0000000,146
LNZL,D,18/04/16,000000,8.720.0000000,8.900.0000000,8.620.0000000,8.800.0000000,415
LNZL,D,19/04/16,000000,8.900.0000000,9.150.0000000,8.900.0000000,9.050.0000000,630
LNZL,D,20/04/16,000000,9.140.0000000,9.140.0000000,9.000.0000000,9.050.0000000,85
LNZL,D,21/04/16,000000,9.110.0000000,9.200.0000000,9.020.0000000,9.200.0000000,251
LNZL,D,22/04/16,000000,9.200.0000000,9.300.0000000,9.160.0000000,9.300.0000000,344
LNZL,D,25/04/16,000000,9.340.0000000,9.680.0000000,9.310.0000000,9.560.0000000,1.059
LNZL,D,26/04/16,000000,9.470.0000000,9.900.0000000,9.460.0000000,9.890.0000000,228
LNZL,D,27/04/16,000000,9.760.0000000,9.900.0000000,9.710.0000000,9.890.0000000,170
LNZL,D,28/04/16,000000,9.870.0000000,9.900.0000000,9.770.0000000,9.880.0000000,102
LNZL,D,29/04/16,000000,9.760.0000000,9.880.0000000,9.700.0000000,9.850.0000000,61
LNZL,D,04/05/16,000000,9.900.0000000,10.700.0000000,9.900.0000000,10.590.0000000,629
LNZL,D,05/05/16,000000,10.700.0000000,10.740.0000000,10.560.0000000,10.680.0000000,332
LNZL,D,06/05/16,000000,10.740.0000000,10.740.0000000,10.650.0000000,10.720.0000000,101
LNZL,D,10/05/16,000000,10.780.0000000,10.780.0000000,9.780.0000000,10.190.0000000,166
LNZL,D,11/05/16,000000,10.240.0000000,10.270.0000000,9.710.0000000,10.200.0000000,540
LNZL,D,12/05/16,000000,10.400.0000000,10.400.0000000,10.150.0000000,10.190.0000000,46
LNZL,D,13/05/16,000000,10.130.0000000,10.330.0000000,10.060.0000000,10.330.0000000,74
LNZL,D,16/05/16,000000,10.200.0000000,10.570.0000000,10.110.0000000,10.570.0000000,471
LNZL,D,17/05/16,000000,10.500.0000000,10.570.0000000,10.360.0000000,10.420.0000000,158
LNZL,D,18/05/16,000000,10.450.0000000,11.310.0000000,10.400.0000000,11.100.0000000,974
LNZL,D,19/05/16,000000,11.050.0000000,11.050.0000000,8.620.0000000,9.090.0000000,4.341
LNZL,D,20/05/16,000000,9.100.0000000,9.860.0000000,8.800.0000000,9.170.0000000,1.078
LNZL,D,23/05/16,000000,9.210.0000000,9.540.0000000,9.200.0000000,9.370.0000000,712
LNZL,D,24/05/16,000000,9.470.0000000,9.470.0000000,9.280.0000000,9.310.0000000,203
LNZL,D,25/05/16,000000,9.260.0000000,9.400.0000000,9.210.0000000,9.280.0000000,227
LNZL,D,26/05/16,000000,9.300.0000000,9.320.0000000,9.170.0000000,9.220.0000000,152
LNZL,D,27/05/16,000000,9.350.0000000,9.350.0000000,9.000.0000000,9.070.0000000,202
LNZL,D,30/05/16,000000,9.140.0000000,9.250.0000000,9.010.0000000,9.020.0000000,106
LNZL,D,31/05/16,000000,9.010.0000000,9.250.0000000,8.820.0000000,8.980.0000000,562
LNZL,D,01/06/16,000000,8.920.0000000,9.100.0000000,8.850.0000000,9.030.0000000,274
LNZL,D,02/06/16,000000,8.990.0000000,9.150.0000000,8.840.0000000,9.010.0000000,458
LNZL,D,03/06/16,000000,9.050.0000000,9.220.0000000,8.900.0000000,9.220.0000000,370
LNZL,D,06/06/16,000000,9.220.0000000,9.220.0000000,9.000.0000000,9.010.0000000,125
LNZL,D,07/06/16,000000,8.950.0000000,9.020.0000000,8.850.0000000,8.990.0000000,363
LNZL,D,08/06/16,000000,9.040.0000000,9.050.0000000,8.860.0000000,8.880.0000000,430
LNZL,D,09/06/16,000000,8.880.0000000,8.930.0000000,8.640.0000000,8.920.0000000,274
LNZL,D,10/06/16,000000,8.950.0000000,9.140.0000000,8.650.0000000,9.050.0000000,270
LNZL,D,14/06/16,000000,9.000.0000000,9.270.0000000,9.000.0000000,9.250.0000000,249
LNZL,D,15/06/16,000000,9.170.0000000,9.390.0000000,9.110.0000000,9.200.0000000,271
LNZL,D,16/06/16,000000,9.190.0000000,9.270.0000000,9.190.0000000,9.270.0000000,63
LNZL,D,17/06/16,000000,9.190.0000000,9.370.0000000,9.050.0000000,9.100.0000000,98
LNZL,D,20/06/16,000000,9.200.0000000,9.200.0000000,8.900.0000000,8.970.0000000,282
LNZL,D,21/06/16,000000,8.940.0000000,9.080.0000000,8.900.0000000,8.900.0000000,74
LNZL,D,22/06/16,000000,9.050.0000000,9.050.0000000,5.350.0000000,8.620.0000000,1.238
LNZL,D,23/06/16,000000,8.330.0000000,8.600.0000000,8.330.0000000,8.600.0000000,136
LNZL,D,24/06/16,000000,8.900.0000000,8.900.0000000,8.600.0000000,8.840.0000000,229
