<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
UTSY,D,22/03/16,000000,1.9800000,2.5100000,1.5700000,1.7200000,85.000
UTSY,D,23/03/16,000000,1.6600000,1.7900000,1.5700000,1.7000000,34.000
UTSY,D,24/03/16,000000,1.6000000,1.7800000,1.5400000,1.7000000,14.000
UTSY,D,25/03/16,000000,1.6100000,1.7800000,1.5800000,1.5900000,33.000
UTSY,D,28/03/16,000000,1.5700000,1.6400000,1.5100000,1.6100000,12.000
UTSY,D,29/03/16,000000,1.5000000,1.5500000,1.3700000,1.5500000,73.000
UTSY,D,30/03/16,000000,1.5500000,1.6500000,1.5000000,1.5000000,23.000
UTSY,D,31/03/16,000000,1.5000000,1.7000000,1.4800000,1.6500000,52.000
UTSY,D,01/04/16,000000,1.6700000,1.7300000,1.5200000,1.7300000,27.000
UTSY,D,04/04/16,000000,1.7400000,1.7400000,1.5500000,1.6800000,25.000
UTSY,D,05/04/16,000000,1.5000000,1.6900000,1.5000000,1.6000000,35.000
UTSY,D,06/04/16,000000,1.5900000,1.5900000,1.5700000,1.5700000,6.000
UTSY,D,07/04/16,000000,1.5300000,1.8000000,1.5000000,1.8000000,207.000
UTSY,D,08/04/16,000000,1.7200000,1.8000000,1.5600000,1.7400000,372.000
UTSY,D,11/04/16,000000,1.6500000,1.7200000,1.6200000,1.7100000,28.000
UTSY,D,12/04/16,000000,1.6500000,1.7000000,1.5800000,1.6000000,46.000
UTSY,D,13/04/16,000000,1.6200000,1.6600000,1.6200000,1.6600000,8.000
UTSY,D,14/04/16,000000,1.6200000,1.8900000,1.5900000,1.7400000,55.000
UTSY,D,15/04/16,000000,1.7000000,1.7000000,1.6300000,1.6900000,7.000
UTSY,D,18/04/16,000000,1.6300000,1.6800000,1.5900000,1.6600000,17.000
UTSY,D,19/04/16,000000,1.6300000,1.6500000,1.6300000,1.6500000,13.000
UTSY,D,20/04/16,000000,1.5900000,1.6500000,1.5800000,1.6400000,7.000
UTSY,D,22/04/16,000000,1.6200000,1.7700000,1.6200000,1.7600000,76.000
UTSY,D,25/04/16,000000,1.6500000,1.7600000,1.5800000,1.7500000,193.000
UTSY,D,26/04/16,000000,1.6200000,1.7000000,1.6000000,1.7000000,7.000
UTSY,D,27/04/16,000000,1.6100000,1.6500000,1.5800000,1.6500000,11.000
UTSY,D,28/04/16,000000,1.5700000,1.5700000,1.5700000,1.5700000,1.000
UTSY,D,29/04/16,000000,1.6000000,1.6300000,1.5800000,1.5800000,10.000
UTSY,D,04/05/16,000000,1.6200000,1.6300000,1.6200000,1.6300000,2.000
UTSY,D,05/05/16,000000,1.5800000,1.6700000,1.5600000,1.6700000,73.000
UTSY,D,06/05/16,000000,1.6800000,1.6800000,1.6800000,1.6800000,1.000
UTSY,D,10/05/16,000000,1.5900000,1.6700000,1.5900000,1.6600000,93.000
UTSY,D,11/05/16,000000,1.6800000,1.6900000,1.5700000,1.6900000,51.000
UTSY,D,12/05/16,000000,1.6800000,1.6800000,1.6800000,1.6800000,1.000
UTSY,D,16/05/16,000000,1.6100000,1.6700000,1.5800000,1.6700000,106.000
UTSY,D,17/05/16,000000,1.6100000,1.6900000,1.6000000,1.6800000,189.000
UTSY,D,18/05/16,000000,1.6000000,1.7500000,1.4100000,1.5400000,246.000
UTSY,D,19/05/16,000000,1.5400000,1.6200000,1.4500000,1.5700000,98.000
UTSY,D,23/05/16,000000,1.5300000,1.5500000,1.5000000,1.5500000,5.000
UTSY,D,25/05/16,000000,1.5700000,1.5700000,1.5700000,1.5700000,1.000
UTSY,D,26/05/16,000000,1.8900000,1.8900000,1.4900000,1.5200000,19.000
UTSY,D,27/05/16,000000,1.5500000,1.6500000,1.5500000,1.6500000,12.000
UTSY,D,31/05/16,000000,1.5800000,1.7500000,1.5000000,1.7000000,47.000
UTSY,D,01/06/16,000000,1.7700000,1.7700000,1.5400000,1.6600000,40.000
UTSY,D,02/06/16,000000,2.0800000,2.0800000,1.5500000,1.6500000,12.000
UTSY,D,03/06/16,000000,1.6300000,1.6300000,1.6300000,1.6300000,1.000
UTSY,D,06/06/16,000000,1.5700000,1.6300000,1.5600000,1.6300000,68.000
UTSY,D,07/06/16,000000,1.5800000,1.6600000,1.5700000,1.6600000,8.000
UTSY,D,08/06/16,000000,1.5800000,1.6400000,1.5400000,1.6300000,26.000
UTSY,D,09/06/16,000000,1.5500000,1.5500000,1.3100000,1.5000000,42.000
UTSY,D,10/06/16,000000,1.5500000,1.5500000,1.5500000,1.5500000,5.000
UTSY,D,14/06/16,000000,1.5000000,1.5100000,1.4100000,1.5100000,25.000
UTSY,D,17/06/16,000000,1.5200000,1.5600000,1.5100000,1.5100000,4.000
UTSY,D,20/06/16,000000,1.4900000,1.5200000,1.3100000,1.5000000,33.000
UTSY,D,24/06/16,000000,1.4400000,1.5200000,1.4200000,1.5100000,35.000
UTSY,D,27/06/16,000000,1.4600000,1.4600000,1.4100000,1.4100000,44.000
UTSY,D,28/06/16,000000,1.4100000,1.4100000,1.4100000,1.4100000,1.000
UTSY,D,29/06/16,000000,1.4100000,1.4500000,1.2500000,1.3600000,103.000
UTSY,D,30/06/16,000000,1.3400000,1.6200000,1.2200000,1.6200000,168.000
UTSY,D,01/07/16,000000,1.3400000,1.3500000,1.2100000,1.2600000,168.000
UTSY,D,04/07/16,000000,1.5800000,1.5800000,1.2300000,1.2400000,166.000
UTSY,D,05/07/16,000000,1.2600000,1.3100000,1.2100000,1.3100000,31.000
UTSY,D,06/07/16,000000,1.3000000,1.3000000,1.1100000,1.2300000,125.000
UTSY,D,07/07/16,000000,1.2200000,1.2300000,1.1900000,1.2300000,16.000
UTSY,D,11/07/16,000000,1.2300000,1.2600000,1.2300000,1.2600000,3.000
UTSY,D,12/07/16,000000,1.2000000,1.2700000,1.2000000,1.2700000,6.000
UTSY,D,21/07/16,000000,1.1800000,1.2400000,1.1000000,1.1700000,1.410.000
UTSY,D,22/07/16,000000,1.1800000,1.5700000,1.1400000,1.4000000,1.747.000
UTSY,D,25/07/16,000000,1.3300000,1.5800000,1.3100000,1.3300000,25.000
UTSY,D,26/07/16,000000,1.4700000,1.5900000,1.3200000,1.4400000,355.000
UTSY,D,27/07/16,000000,1.4600000,1.6500000,1.4600000,1.4900000,574.000
UTSY,D,28/07/16,000000,1.6700000,1.6700000,1.4300000,1.5000000,11.000
UTSY,D,29/07/16,000000,1.3300000,1.6200000,1.2500000,1.6000000,355.000
UTSY,D,01/08/16,000000,1.6200000,1.7000000,1.5700000,1.6700000,226.000
UTSY,D,03/08/16,000000,1.4900000,1.7100000,1.4900000,1.7100000,51.000
UTSY,D,08/08/16,000000,1.6800000,1.6800000,1.6800000,1.6800000,1.000
UTSY,D,09/08/16,000000,1.6600000,1.7100000,1.6600000,1.7100000,26.000
UTSY,D,10/08/16,000000,1.6000000,1.7100000,1.6000000,1.6300000,13.000
UTSY,D,11/08/16,000000,1.6000000,1.6800000,1.5800000,1.6800000,15.000
UTSY,D,12/08/16,000000,1.7000000,1.7000000,1.7000000,1.7000000,5.000
UTSY,D,15/08/16,000000,1.7000000,1.9700000,1.7000000,1.7200000,11.000
UTSY,D,16/08/16,000000,1.7000000,1.7000000,1.7000000,1.7000000,1.000
UTSY,D,17/08/16,000000,1.6800000,1.7100000,1.6800000,1.7100000,8.000
UTSY,D,18/08/16,000000,1.7100000,1.7100000,1.7100000,1.7100000,1.000
UTSY,D,19/08/16,000000,1.7100000,1.7300000,1.5900000,1.5900000,7.000
UTSY,D,22/08/16,000000,2.0400000,2.0400000,1.5900000,1.9000000,17.000
UTSY,D,23/08/16,000000,1.7900000,1.9400000,1.7900000,1.9100000,17.000
UTSY,D,24/08/16,000000,1.9500000,1.9500000,1.9400000,1.9400000,2.000
UTSY,D,25/08/16,000000,1.9500000,1.9500000,1.9100000,1.9100000,4.000
UTSY,D,29/08/16,000000,1.9400000,1.9500000,1.9400000,1.9500000,2.000
UTSY,D,30/08/16,000000,1.9500000,1.9500000,1.6100000,1.9200000,10.000
UTSY,D,31/08/16,000000,1.9100000,1.9200000,1.9000000,1.9200000,5.000
UTSY,D,01/09/16,000000,1.6800000,1.9000000,1.4600000,1.5500000,134.000
UTSY,D,02/09/16,000000,1.6500000,1.7600000,1.6400000,1.7600000,17.000
UTSY,D,05/09/16,000000,1.8000000,1.8000000,1.6300000,1.7800000,3.000
UTSY,D,06/09/16,000000,1.8000000,1.8000000,1.7500000,1.7500000,5.000
UTSY,D,07/09/16,000000,1.7900000,1.7900000,1.7600000,1.7600000,3.000
UTSY,D,08/09/16,000000,1.6100000,1.7100000,1.6100000,1.7000000,19.000
UTSY,D,09/09/16,000000,1.6300000,1.7000000,1.6300000,1.6800000,9.000
UTSY,D,12/09/16,000000,1.6900000,1.7000000,1.6100000,1.6100000,9.000
UTSY,D,13/09/16,000000,1.6800000,1.6900000,1.6200000,1.6300000,9.000
UTSY,D,14/09/16,000000,1.6300000,1.6700000,1.5500000,1.6100000,41.000
UTSY,D,15/09/16,000000,1.6100000,1.6200000,1.6100000,1.6200000,3.000
UTSY,D,16/09/16,000000,1.6000000,1.6200000,1.5100000,1.5400000,30.000
UTSY,D,19/09/16,000000,1.6500000,1.6500000,1.5100000,1.5600000,9.000
UTSY,D,20/09/16,000000,1.5200000,1.5300000,1.5100000,1.5300000,5.000
UTSY,D,21/09/16,000000,1.5500000,1.9400000,1.4900000,1.5900000,85.000
UTSY,D,22/09/16,000000,1.5400000,1.5800000,1.5200000,1.5200000,10.000
UTSY,D,23/09/16,000000,1.5700000,1.5900000,1.5200000,1.5900000,22.000
