<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ZILL,D,22/02/16,000000,1.000.0000000,1.085.0000000,1.000.0000000,1.002.0000000,240
ZILL,D,24/02/16,000000,1.033.0000000,1.033.0000000,1.005.0000000,1.005.0000000,20
ZILL,D,25/02/16,000000,1.010.0000000,1.010.0000000,984.0000000,1.007.0000000,40
ZILL,D,29/02/16,000000,1.028.0000000,1.028.0000000,1.028.0000000,1.028.0000000,30
ZILL,D,01/03/16,000000,998.0000000,1.034.0000000,998.0000000,1.034.0000000,120
ZILL,D,02/03/16,000000,1.041.0000000,1.043.0000000,982.0000000,1.019.0000000,920
ZILL,D,03/03/16,000000,990.0000000,1.024.0000000,979.0000000,1.004.0000000,840
ZILL,D,04/03/16,000000,1.003.0000000,1.050.0000000,982.0000000,1.003.0000000,450
ZILL,D,07/03/16,000000,1.003.0000000,1.005.0000000,926.0000000,1.000.0000000,970
ZILL,D,09/03/16,000000,1.012.0000000,1.183.0000000,1.010.0000000,1.077.0000000,660
ZILL,D,10/03/16,000000,1.076.0000000,1.086.0000000,1.046.0000000,1.059.0000000,80
ZILL,D,11/03/16,000000,1.011.0000000,1.038.0000000,1.010.0000000,1.038.0000000,130
ZILL,D,14/03/16,000000,1.104.0000000,1.104.0000000,1.040.0000000,1.064.0000000,150
ZILL,D,15/03/16,000000,1.066.0000000,1.490.0000000,1.066.0000000,1.490.0000000,5.670
ZILL,D,16/03/16,000000,1.690.0000000,2.084.0000000,1.500.0000000,1.710.0000000,7.500
ZILL,D,17/03/16,000000,1.354.0000000,1.978.0000000,1.051.0000000,1.270.0000000,3.560
ZILL,D,18/03/16,000000,1.368.0000000,1.429.0000000,1.207.0000000,1.285.0000000,520
ZILL,D,21/03/16,000000,1.357.0000000,1.357.0000000,1.120.0000000,1.275.0000000,1.360
ZILL,D,22/03/16,000000,1.142.0000000,1.290.0000000,1.142.0000000,1.273.0000000,210
ZILL,D,23/03/16,000000,1.284.0000000,1.781.0000000,1.230.0000000,1.781.0000000,5.030
ZILL,D,24/03/16,000000,2.057.0000000,2.389.0000000,1.500.0000000,1.563.0000000,4.870
ZILL,D,25/03/16,000000,1.507.0000000,1.744.0000000,1.369.0000000,1.624.0000000,620
ZILL,D,28/03/16,000000,1.636.0000000,1.675.0000000,1.450.0000000,1.513.0000000,910
ZILL,D,29/03/16,000000,1.514.0000000,1.750.0000000,1.501.0000000,1.510.0000000,1.010
ZILL,D,30/03/16,000000,1.481.0000000,1.544.0000000,1.455.0000000,1.515.0000000,280
ZILL,D,31/03/16,000000,1.501.0000000,1.577.0000000,1.501.0000000,1.560.0000000,60
ZILL,D,01/04/16,000000,1.594.0000000,1.594.0000000,1.451.0000000,1.533.0000000,240
ZILL,D,04/04/16,000000,1.538.0000000,1.580.0000000,1.480.0000000,1.480.0000000,470
ZILL,D,05/04/16,000000,1.500.0000000,1.526.0000000,1.500.0000000,1.526.0000000,20
ZILL,D,06/04/16,000000,1.523.0000000,1.525.0000000,1.480.0000000,1.523.0000000,170
ZILL,D,07/04/16,000000,1.484.0000000,1.500.0000000,1.417.0000000,1.500.0000000,150
ZILL,D,08/04/16,000000,1.458.0000000,1.458.0000000,1.406.0000000,1.406.0000000,230
ZILL,D,11/04/16,000000,1.415.0000000,1.697.0000000,1.403.0000000,1.450.0000000,1.690
ZILL,D,12/04/16,000000,1.430.0000000,1.490.0000000,1.375.0000000,1.422.0000000,610
ZILL,D,13/04/16,000000,1.415.0000000,1.432.0000000,1.401.0000000,1.432.0000000,80
ZILL,D,14/04/16,000000,1.387.0000000,1.497.0000000,1.387.0000000,1.437.0000000,110
ZILL,D,15/04/16,000000,1.484.0000000,1.499.0000000,1.456.0000000,1.456.0000000,120
ZILL,D,18/04/16,000000,1.480.0000000,1.489.0000000,1.411.0000000,1.445.0000000,90
ZILL,D,19/04/16,000000,1.450.0000000,1.500.0000000,1.450.0000000,1.500.0000000,200
ZILL,D,20/04/16,000000,1.500.0000000,1.500.0000000,1.435.0000000,1.478.0000000,230
ZILL,D,21/04/16,000000,1.478.0000000,1.500.0000000,1.465.0000000,1.500.0000000,480
ZILL,D,22/04/16,000000,1.530.0000000,1.530.0000000,1.465.0000000,1.465.0000000,150
ZILL,D,25/04/16,000000,1.460.0000000,1.500.0000000,1.405.0000000,1.500.0000000,210
ZILL,D,26/04/16,000000,1.470.0000000,1.500.0000000,1.380.0000000,1.500.0000000,70
ZILL,D,27/04/16,000000,1.470.0000000,1.489.0000000,1.470.0000000,1.470.0000000,50
ZILL,D,28/04/16,000000,1.431.0000000,1.449.0000000,1.375.0000000,1.449.0000000,110
ZILL,D,29/04/16,000000,1.460.0000000,1.460.0000000,1.410.0000000,1.410.0000000,30
ZILL,D,04/05/16,000000,1.410.0000000,1.410.0000000,1.130.0000000,1.285.0000000,1.020
ZILL,D,05/05/16,000000,1.210.0000000,1.245.0000000,1.160.0000000,1.165.0000000,180
ZILL,D,06/05/16,000000,1.160.0000000,1.260.0000000,1.145.0000000,1.260.0000000,100
ZILL,D,10/05/16,000000,1.260.0000000,1.330.0000000,1.235.0000000,1.235.0000000,110
ZILL,D,11/05/16,000000,1.220.0000000,1.285.0000000,1.220.0000000,1.285.0000000,40
ZILL,D,12/05/16,000000,1.225.0000000,1.225.0000000,1.225.0000000,1.225.0000000,20
ZILL,D,13/05/16,000000,1.295.0000000,1.485.0000000,1.290.0000000,1.485.0000000,830
ZILL,D,16/05/16,000000,1.525.0000000,1.600.0000000,1.415.0000000,1.435.0000000,590
ZILL,D,20/05/16,000000,1.400.0000000,1.495.0000000,1.400.0000000,1.455.0000000,80
ZILL,D,23/05/16,000000,1.450.0000000,1.485.0000000,1.450.0000000,1.485.0000000,80
ZILL,D,24/05/16,000000,1.410.0000000,1.410.0000000,1.410.0000000,1.410.0000000,10
ZILL,D,25/05/16,000000,1.370.0000000,1.370.0000000,1.215.0000000,1.300.0000000,140
ZILL,D,26/05/16,000000,1.305.0000000,1.305.0000000,1.250.0000000,1.270.0000000,60
ZILL,D,27/05/16,000000,1.275.0000000,1.380.0000000,1.270.0000000,1.280.0000000,40
ZILL,D,30/05/16,000000,1.270.0000000,1.285.0000000,1.110.0000000,1.205.0000000,310
ZILL,D,31/05/16,000000,1.160.0000000,1.170.0000000,1.000.0000000,1.100.0000000,1.010
ZILL,D,01/06/16,000000,1.140.0000000,1.160.0000000,1.105.0000000,1.150.0000000,110
ZILL,D,02/06/16,000000,1.105.0000000,1.210.0000000,1.105.0000000,1.125.0000000,60
ZILL,D,03/06/16,000000,1.120.0000000,1.165.0000000,1.120.0000000,1.165.0000000,60
